An epic feast is held in your honor What's on the table?,,,,,,,
Are all individuals morally obligated to save another person's life if they are able? What if that person lives in another country?,,,,,,,
Are intentions or outcomes more important when judging whether actions are moral?,,,,,,,
Are people ethically obligated to improve themselves?,,,,,,,
Are relationships with your friends or your family more important to you?,,,,,,,
Are there limits to human creativity?,,,,,,,
Are you a morning person or a night person?,,,,,,,
Are you a patient person? What are you patient with that most people aren't and what do you have no patience for?,,,,,,,
At what point is a technologically enhanced human not a human anymore?,,,,,,,
By what standards do you judge yourself?,,,,,,,
Can a society exist without laws?,,,,,,,
Can animals have morals?,,,,,,,
Can human nature be changed? Should it be changed?,,,,,,,
Can rational thought exist without language?,,,,,,,
Could societies exist without a way to transfer value (i.e. without money or a barter system)?,,,,,,,
Do all people have equal value regardless of their actions or is a person's value based on their actions?,,,,,,,
Do animals have rights and do those rights extend to all animals or do the rights change based on the complexity of the animal?,,,,,,,
Do business owners have the right to refuse service to customers?,,,,,,,
Do people in wealthier countries have a moral obligation to help those in poorer countries?,,,,,,,
Do you eat food that's past its expiration date if it still smells and looks fine?,,,,,,,
Do you have a green thumb or hands of death when it comes to plants? What roughly is your kill / grow ratio?,,,,,,,
Do you like cooking? What dishes can you make?,,,,,,,
Do you like movie theater popcorn with butter or without?,,,,,,,
Do you like things to be carefully planned or do you prefer to just go with the flow?,,,,,,,
Do you prefer book or movies with happy endings or more dramatic endings and why?,,,,,,,
Do you prefer dogs or cats or another animal perhaps?,,,,,,,
Do you think people are wiser now than they were 100 years ago? Why or why not?,,,,,,,
Do you think silence is relaxing or unnerving? Why do you think other people might feel the opposite way?,,,,,,,
Do you think some adversity is good for a person? How much is too much?,,,,,,,
Do you think that aliens exist?,,,,,,,
Do you think that children born today will have better or worse lives than their parents?,,,,,,,
Do you think that humans as a species have changed much in the last 2000 years? Not human technology but humans themselves. Why or why not?,,,,,,,
Do you think that humans will ever be able to live together in harmony?,,,,,,,
Do you think that wanting things necessarily leads to more sadness and misery?,,,,,,,
Do you think you are good leader or would make a good leader? Why or why not?,,,,,,,
Does a person's name influence the person they become?,,,,,,,
Does absolute power corrupt absolutely?,,,,,,,
Does anonymity encourage people to misbehave or does it reveal how people would choose to act all the time if they could?,,,,,,,
Does jealously have value in driving humans to improve themselves or is it a purely negative emotion?,,,,,,,
Does knowledge have intrinsic value or does it need to have a practical use to have value?,,,,,,,
Does marriage as an institution need to be updated or is it fine how it is?,,,,,,,
Does the modern age make global conspiracies more or less feasible?,,,,,,,
Does the study of philosophy ever lead to answers or simply more questions?,,,,,,,
Has social media been a net positive or a net negative for our society? Why?,,,,,,,
Has the invention of the atomic bomb made the world a more peaceful place?,,,,,,,
Have you ever or would you ever dye your hair a wild color?,,,,,,,
Have you ever or would you ever try cosplay?,,,,,,,
Have you found your place in the world? How common or uncommon do you think it is to feel like you've found your place in the world?,,,,,,,
How adventurous are you when it comes to food?,,,,,,,
How ambitious are you?,,,,,,,
How big of a part of success does luck play?,,,,,,,
How comfortable are you being without a phone?,,,,,,,
How comfortable are you speaking in front of large groups of people?,,,,,,,
How conscious do you think animals are?,,,,,,,
How do you define consciousness?,,,,,,,
How do you feel about snakes and spiders?,,,,,,,
How do you judge a person?,,,,,,,
How do you make yourself sleep when you can't seem to get to sleep?,,,,,,,
How do you think countries could allocate their resources better?,,,,,,,
How do you think the internet would change if all advertising was banned on the internet?,,,,,,,
How do you think you'd fair in prison?,,,,,,,
How far should governments go to prevent its citizens from causing harm to themselves?,,,,,,,
How forgiving are you?,,,,,,,
How good are you at admitting when you are wrong?,,,,,,,
How good is your sense of direction? How often do you get lost?,,,,,,,
How important is play in living a healthy and fulfilling life?,,,,,,,
How judgmental are you?,,,,,,,
How long will you be remembered after you die?,,,,,,,
How long would you choose to live given the choice of any number of years?,,,,,,,
How much do you plan / prepare for the future?,,,,,,,
How much do you recycle?,,,,,,,
How much do you take care of your health?,,,,,,,
How much do you think names affect the outcomes of people's lives?,,,,,,,
How much do you trust or distrust authority figures?,,,,,,,
How much does language affect our thinking?,,,,,,,
How much effort should an individual put into not offending others?,,,,,,,
How much faith do you put in humanity?,,,,,,,
How much of a role do you think A.I. will play in the near future?,,,,,,,
How much of an accent do you think you have? Are you proud of it or do you wish you could lose it for a more neutral accent?,,,,,,,
How much of your body would you cybernetically enhance if you could?,,,,,,,
How much privacy are you willing to sacrifice for safety?,,,,,,,
How much sleep do you usually get?,,,,,,,
How much time do you spend on your phone?,,,,,,,
How often did you climb trees as a child? Did you have a tree house or fort? When was the last time you climbed a tree?,,,,,,,
How replaceable are you?,,,,,,,
How self-motivated are you?,,,,,,,
How should we measure the productivity of a society?,,,,,,,
How well do you dance? What are some of your go to moves?,,,,,,,
How well do you handle spicy food?,,,,,,,
How well do you take criticism?,,,,,,,
How will humans as a species go extinct?,,,,,,,
How would humanity change if all humans' life expectancy was significantly increased (let's say to around 500 years)?,,,,,,,
How would society change if men were able to get pregnant and men and women both had an equal chance of getting pregnant?,,,,,,,
How would the world change if there was an accurate measure of aptitude?,,,,,,,
How would you define genius?,,,,,,,
How would you like to see the education system change?,,,,,,,
If you were a clown themed super hero what powers would you have?,,,,,,,
If you were a graffiti artist what would your tag look like?,,,,,,,
Is a life that focuses on avoiding pain and seeking out pleasure a good and worthwhile life? Why or why not?,,,,,,,
Is a sense of humor a byproduct of consciousness or something else entirely?,,,,,,,
Is free will real or just an illusion?,,,,,,,
Is happiness just chemicals flowing through your brain or something more?,,,,,,,
Is hierarchy necessary for all successful human communities?,,,,,,,
Is humanity headed in the right or wrong direction?,,,,,,,
Is intelligence or wisdom more useful?,,,,,,,
Is it be possible for humans to create something completely novel and new that is based on nothing that previously existed? Or is human creativity just rearranging and building on previous ideas?,,,,,,,
Is it better for a person to have a broad knowledge base or a deep knowledge base?,,,,,,,
Is it better to be a big fish in a small pond or a small fish in a big pond?,,,,,,,
Is it just and right to deny entry to a country when doing so probably means death for the immigrant and their family?,,,,,,,
Is it possible for a human to fathom the true depths of reality and existence?,,,,,,,
Is it possible that some animals are self-aware and think about their ability to think?,,,,,,,
Is it possible to live a normal life and not ever tell a lie?,,,,,,,
Is it possible to prove that other people besides yourself have consciousness?,,,,,,,
Is it right or wrong that everyone seems to be accustomed to the fact that all of humanity and most of the life on Earth could be wiped out at the whim of a handful of people?,,,,,,,
Is justice a human construct or is it independent of humans?,,,,,,,
